42593625|*Boron|D001895|10217|MH|RtM via: boron;Forced Leaf Node Lookup:boron;checkForceMH Boosted|TI|MM|932^5^0
42593625|*Water|D014867|8083|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|1548^5^0
42593625|*Phosphates|D010710|6277|MH|RtM via: Phosphates;RtM via: phosphate ion;checkForceMH Boosted|TI|MM|986^10^0
42593625|*Zinc|D015032|5485|MH|RtM via: Dietary Zinc;RtM via: zinc;checkForceMH Boosted;Forced Non-Leaf Node Lookup:zinc|TI|MM|924^4^0
42593625|*Poverty|D011203|4633|MH|RtM via: Poverty;Forced Leaf Node Lookup:poverty|TI|MM|804^7^0
42593625|*Incidence|D015994|4624|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|962^9^0;669^9^0;337^9^0
42593625|*Respect|D000078682|4465|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|1998^7^0
42593625|Arizona|D001130|4453|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|324^7^0
42593625|Wales|D014852|4414|MH|RtM via: Country of Wales;Forced Leaf Node Lookup:wales|TI|MM|268^5^0
42593625|*Pinus sylvestris|D041605|26727|MH|RtM via: Pinus sylvestris (plant)|TI|MM;RC|133^10^0
42593625|*Pinus|D028223|24993|MH|RtM via: Pinus mugo;RtM via: Pinus <genus>|TI|MM;RC|275^13^0;115^13^0;1931^4^0;109^4^0
42593625|*Plant Leaves|D018515|5910|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|1583^6^0
42593625|*Forest|D065928|4254|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|50^6^0
42593625|*Carbohydrate|D002241|1737|ET|Entry Term Replacement for "Carbohydrates";RtM via: Carbohydrates;Forced Non-Leaf Node Lookup:carbohydrates|TI|MM|1334^12^0
42593625|*Life Cycle|D008018|1041|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages;Forced Non-Leaf Node Lookup:life cycles|TI|MM|1792^10^0
42593625|*Dressings|D001458|282|ET|Entry Term Replacement for "Bandages";RtM via: Medical dressing;Forced Non-Leaf Node Lookup:dressings|TI|MM|997^9^0
42593625|Australia|D001315|3|MH|RtM via: Australia|TI|MM|1137^9^0
42595019|*Trees|D014197|23406|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|349^4^0
42595019|*Geology|D005844|3801|MH|RtM via: Geology;Forced Leaf Node Lookup:geology|TI|MM|188^7^0
42595019|*Limestone|D002119|2796|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;checkForceMH Boosted;Forced Non-Leaf Node Lookup:limestone|TI|MM|274^9^0
42595019|Jamaica|D007563|2553|MH|RtM via: Jamaica;Forced Leaf Node Lookup:jamaica|TI|MM|92^7^0
42595019|*Forests|D065928|22068|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|413^6^0;462^7^0
42595019|*Climate|D002980|10809|MH|RtM via: Climate|TI|MM;RC|197^7^0
42595019|*Islands|D062312|3735|MH|RtM via: Islands|TI|MM|82^6^0
42595019|*Policy|D057766|486|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|616^6^0;399^6^0
42595105|*Sand|D000080463|3505|MH|RtM via: Sand;Forced Leaf Node Lookup:sand;checkForceMH Boosted|TI|MM|297^4^0
42595105|*Desiccation|D003890|680|MH|Forced Leaf Node Lookup:desiccation|TI|MM|174^11^0
42595105|*Forest|D065928|8076|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|199^6^0
42595105|Soil|D012987|946|MH|||RC
42595105|Far East|D005202|336|MH|RtM via: Far East;Forced Non-Leaf Node Lookup:far east|TI|MM|137^8^0
42595105|*Engineering|D004738|333|MH|RtM via: Engineering|TI|MM|502^11^0
42595105|North Africa|D000352|132|ET|Entry Term Replacement for "Africa, Northern";RtM via: Africa, Northern|TI|MM|104^12^0
42593560|*Acacia|D000045|3225|MH|RtM via: Acacia;RtM via: Acacia aneura;Forced Leaf Node Lookup:acacias;checkForceMH Boosted|TI|MM|156^6^0;149^5^0
42593560|Western Australia|D014904|960|MH|RtM via: Western Australia;Forced Leaf Node Lookup:western australia|TI|MM|74^17^0
42593560|*Forests|D065928|11079|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|246^7^0;29^7^0
42593560|Forestry|D016468|2283|MH|||RC
42593567|*Hyphae|D025301|7758|MH|RtM via: Hyphae;Forced Leaf Node Lookup:hyphae|TI|MM;RC|819^13^0;826^6^0
42593567|*Wood|D014934|4509|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|630^4^0;668^4^0
42593567|*Thuja|D029783|2961|MH|RtM via: Thuja plicata;Forced Leaf Node Lookup:western red cedars;checkForceMH Boosted|TI|MM|72^17^0
42593567|*Specific Gravity|D013046|2916|MH|RtM via: Specific Gravity;Forced Leaf Node Lookup:specific gravity|TI|MM|726^16^0;439^16^0;491^16^0
42593567|*Color|D003116|1133|MH|Forced Leaf Node Lookup:colours|TI|MM;RC|124^6^0;185^6^0
42593567|Coniferiporia weirii|C000668532|1117|NM|Forced New Lookup:poria weirii|TI|MM|919^12^0
42593567|Canada|D002170|1116|MH|RtM via: Canadian;Forced Leaf Node Lookup:canadian;Geo Lookup:canadian|TI;AB|MM|63^8^0
42593567|*Fungus|D005658|3258|ET|Entry Term Replacement for "Fungi";RtM via: Fungi;Forced Non-Leaf Node Lookup:fungus|TI|MM;RC|1056^6^0;796^6^0;570^6^0;968^6^0
42593567|*Mycelium|D025282|3000|MH|RtM via: Mycelium;Forced Non-Leaf Node Lookup:myceliums|TI|MM|570^15^0;577^8^0
42593567|*Basidiomycota|D001487|1812|MH|RtM via: Coniferiporia weirii|TI|MM|919^12^0
42593567|*Dwarfism|D004392|1668|MH|RtM via: SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME|TI|MM|255^6^0
42593567|*Walls, Cell|D002473|627|ET|Entry Term Replacement for "Cell Wall";RtM via: Cell Wall;Forced Non-Leaf Node Lookup:cell walls|TI|MM|870^10^0
42593567|*Staining|D013194|117|ET|Entry Term Replacement for "Staining and Labeling";RtM via: Staining method;Forced Non-Leaf Node Lookup:stainings|TI|MM|1070^8^0
42594330|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B05.500 (Life Cycle)||MM
42594330|*Salts|D012492|3684|MH|RtM via: Salts;Forced Leaf Node Lookup:salts;checkForceMH Boosted|TI|MM|1551^5^0
42594330|borax|C018851|3499|NM|RtM via: Borax;Forced SCR Leaf Node Lookup:borax|TI|MM|1585^5^0
42594330|Kenya|D007630|1731|MH|RtM via: Kenya;Forced Leaf Node Lookup:kenya|TI|MM|210^5^0
42594330|*Forest|D065928|8340|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|278^6^0
42594330|*Poaceae|D006109|7731|MH|RtM via: Oldeania alpina|TI|MM;RC|178^18^0
42594330|*Flowers|D035264|4134|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|768^7^0
42594330|*Reproduction|D012098|3696|MH|RtM via: flowering|TI|MM;RC|798^9^0
42594330|*Borates|D001881|3498|HM|RtM via: Borax|TI|MM|1585^5^0
