10.2307/1550832|*Temperature|D013696|291868|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|656^12^0;763^12^0;923^12^0
10.2307/1550832|*Population Density|D011156|291163|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM|437^15^0
10.2307/1550832|*Inbreeding|D007178|290998|MH|RtM via: Inbreeding;Forced Leaf Node Lookup:inbreeding|TI|MM|1186^10^0
10.2307/1550832|*Cold Temperature|D003080|7635|MH|RtM via: Cold Temperature|TI|MM;RC|919^16^0
10.2307/1550832|*Pinus|D028223|7104|MH|RtM via: Pinus <genus>|TI|MM;RC|1409^4^0;1218^4^0
10.2307/1550832|*Reproduction|D012098|2691|MH|RtM via: Reproduction|TI|MM;RC|1108^12^0
10.2307/1550832|*Hot Temperature|D006358|1740|MH|RtM via: High temperature of physical object|TI|MM|758^17^0
10.2307/1550832|Scandinavia|D012537|327|ET|Entry Term Replacement for "Scandinavian and Nordic Countries";RtM via: Nordic Countries;RtM via: Scandinavia|TI|MM|1417^11^0
10.2307/1551019|*Ice Cover|D046448|24007|MH|RtM via: Ice Cover;Forced Leaf Node Lookup:ice sheets|TI|MM;RC|1836^9^0;1007^9^0;758^9^0;653^9^0;440^9^0;211^10^0
10.2307/1551019|*Rivers|D045483|7895|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|1720^6^0
10.2307/1551019|*Lakes|D060106|4685|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|1671^5^0
10.2307/1551019|*Islands|D062312|4013|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|1243^7^0
10.2307/1551019|Quebec|D011792|3740|MH|RtM via: Quebec;Forced Leaf Node Lookup:quebec|TI|MM;RC|2070^6^0;1541^6^0
10.2307/1551019|Newfoundland and Labrador|D009523|2624|MH|RtM via: Labrador (geographic location);Forced Leaf Node Lookup:labrador|TI|MM|2077^8^0;1548^8^0
10.2307/1551019|Wisconsin|D014922|1892|MH|RtM via: Wisconsin;Forced Leaf Node Lookup:wisconsin|TI|MM|1050^9^0;201^9^0
10.2307/1551019|*Bays|D061006|1820|MH|Forced Leaf Node Lookup:bay|TI|MM|678^3^0;709^3^0;1434^3^0;1507^3^0;1593^3^0;1915^3^0;2054^3^0
10.2307/1551019|Canada|D002170|2940|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM;RC|238^6^0
10.2307/1551019|*Striae Distensae|D057896|1233|MH|RtM via: Linear atrophy|TI|MM|582^6^0
10.2307/1551019|France|D005602|0|MH|RtM via: France|TI|MM|1164^6^0
10.2307/1551071|Animals|D000818|13072|CT|Arthropods;CT Treecode Lookup: B01.050.500.131 (Arthropods)||MM;RC
10.2307/1551071|*Snow|D012914|6610|MH|RtM via: Snow (substance);RtM via: snow - weather;Forced Leaf Node Lookup:snow|TI|MM;RC|561^4^0
10.2307/1551071|Colorado|D003120|1819|MH|RtM via: Larimer County, CO;RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM;RC|225^16^0;853^8^0;174^8^0
10.2307/1551071|Alaska|D000413|1786|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|762^6^0
10.2307/1551071|Washington|D014861|1765|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|770^10^0
10.2307/1551071|*Grassland|D065948|1308|MH|Forced Leaf Node Lookup:meadows|TI|MM;RC|643^7^0
10.2307/1551071|*Arthropods|D001181|12072|MH|RtM via: Bourletiella;RtM via: Collembola <class>;RtM via: Anurida;RtM via: Ceratophysella;RtM via: Isotoma <springtail>;RtM via: Anurophorus;RtM via: Folsomia;RtM via: Friesea|TI|MM|433^12^0;59^10^0;830^7^0;584^14^0;604^7^0;665^11^0;341^11^0;386^8^0;291^7^0
10.2307/1551071|*Habitats|D017753|4155|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|527^8^0
10.2307/1551071|*Campanulaceae|D029422|1359|MH|RtM via: Isotoma angiosperm|TI|MM|604^7^0
10.2307/1550141|United States|D014481|6031|CT|Forced Leaf Node Lookup:american|TI|MM|143^8^0
10.2307/1550141|*Altitude|D000531|694|MH|Forced Leaf Node Lookup:altitudes|TI|MM;RC|402^9^0
10.2307/1550141|*Tundra|D065929|5031|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM;RC|360^6^0
10.2307/1550141|*Forest|D065928|2625|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|353^6^0
10.2307/1550141|*Standardization|D012015|51|ET|Entry Term Replacement for "Reference Standards";RtM via: Standardization;Forced Non-Leaf Node Lookup:standardization|TI|MM|200^15^0
10.2307/1551423|*Seedlings|D036226|10197|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|1149^9^0;872^9^0;606^9^0;449^9^0;730^9^0;922^9^0
10.2307/1551423|*Seasons|D012621|8628|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|1308^7^0;995^6^0
10.2307/1551423|*Parks, Recreational|D000068316|3147|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|60^13^0
10.2307/1551423|*Plants|D010944|6972|MH|RtM via: Plants|TI|MM;RC|1363^5^0;1205^5^0;1126^8^0;864^7^0;598^7^0;440^8^0;145^5^0
10.2307/1551423|*Seeds|D012639|3597|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|498^5^0
10.2307/1551423|*Weather|D014887|3312|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|844^7^0
10.2307/1551423|*Water|D014867|2307|MH|RtM via: water|TI|MM;RC|1003^8^0;636^8^0
10.2307/1551423|Soil|D012987|1036|MH|Forced Non-Leaf Node Lookup:topsoil||MM;RC|744^7^0;1032^7^0
10.2307/1551423|Fertilization|D005306|1000|MH|Forced Non-Leaf Node Lookup:fertilizations||MM|617^13^0;1013^13^0
