43443294|*Goals|D006040|423|MH|Forced Leaf Node Lookup:goals|TI|MM|1696^5^0
43443294|*Habitat|D017753|843|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1349^8^0;813^8^0;543^7^0
43443294|*River|D045483|822|ET|Entry Term Replacement for "Rivers";RtM via: Rivers|TI|MM|69^5^0
43443294|*Durable Medical Equipment|D004389|600|MH|RtM via: Physical restraint equipment (device)|TI|MM|1913^8^0;1754^8^0;1500^8^0
43443294|*Dermabrasion|D003869|537|MH|RtM via: Abrasion;RtM via: Superficial abrasion|TI|MM|1297^7^0;1092^7^0
43443294|*Statistical Model|D015233|213|ET|Entry Term Replacement for "Models, Statistical";RtM via: Models, Statistical;Forced Non-Leaf Node Lookup:statistical model|TI|MM|1176^17^0
43443294|*Attention|D001288|99|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|28^9^0
43443231|Humans|D006801|23524761|CT|Forced Humans: students;Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|390^5^0;602^5^0
43443231|*Ecosystem|D017753|931168|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|992^10^0;511^10^0;265^10^0
43443231|*Rainforest|D065947|930856|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|362^11^0
43443231|Costa Rica|D003364|927553|MH|RtM via: Costa Rica;Forced Leaf Node Lookup:costa rica|TI|MM;RC|107^10^0
43443231|*Conservation of Natural Resources|D003247|29889|MH|RtM via: Natural regeneration|TI|MM;RC|553^12^0
43443231|*Natural Resources|D000067936|21042|MH|RtM via: Natural Resources;Forced Non-Leaf Node Lookup:natural resources|TI|MM|1065^17^0;736^17^0
43443231|*Forests|D065928|15627|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|336^7^0
43443231|*Fires|D005390|6735|MH|RtM via: Fire - disasters|TI|MM|452^5^0
43443231|*Agriculture|D000383|5277|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|439^11^0
43443231|*Students|D013334|2049|MH|RtM via: student;Forced Non-Leaf Node Lookup:students|TI|MM|910^8^0
43443231|*Parents|D010290|738|MH|RtM via: parent;Forced Non-Leaf Node Lookup:parents|TI|MM|920^7^0
43443231|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|553^12^0
43443231|Central America|D002489|5040|MH|RtM via: Central America|TI|MM|121^15^0
43443231|Caribbean|D017691|810|ET|Entry Term Replacement for "Caribbean Region";RtM via: Caribbean region|TI|MM|352^9^0
43443139|Humans|D006801|7609|CT|Races;CT Treecode Lookup: M01.686 (Races)||MM;RC
43443139|United States|D014481|7609|CT|Forced Leaf Node Lookup:american|TI|MM;RC|30^8^0;482^8^0
43443139|*Cities|D002947|6609|MH|RtM via: Cities;Forced Leaf Node Lookup:cities|TI|MM;RC|491^6^0;295^4^0;39^6^0
43443139|Conservation of Natural Resources|D003247|1012|MH|||RC
43443139|Ecosystem|D017753|857|MH|||RC
43443139|*Races|D044469|129|ET|Entry Term Replacement for "Continental Population Groups";RtM via: North American (race);RtM via: Racial group|TI|MM|476^14^0;24^14^0;456^6^0
43443139|*Publications|D011642|69|MH|RtM via: Publications|TI|MM|200^10^0
43443260|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B01.050.500.131.617 (Insect)||MM
43443260|*Pinus ponderosa|D041604|76665|MH|RtM via: Pinus ponderosa;Forced Leaf Node Lookup:pinus ponderosas;Forced Leaf Node Lookup:ponderosa pines;checkForceMH Boosted|TI|MM;RC|218^15^0;202^14^0
43443260|*Introduced Species|D058865|16344|MH|Forced Leaf Node Lookup:non-native species;checkForceMH Boosted|TI|MM|708^18^0
43443260|*Herbivory|D060434|13788|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivory|TI|MM|764^9^0
43443260|*Forests|D065928|44103|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|960^6^0;623^6^0;370^6^0;393^8^0;181^6^0;235^7^0
43443260|*Fire|D005390|35724|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|346^4^0
43443260|*Habitat|D017753|29769|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|540^7^0
43443260|*Plant|D010944|7620|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|106^5^0
43443260|*Insect|D007313|3117|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|998^6^0;303^6^0
43443260|*Crop Production|D000069599|1845|MH|RtM via: Crop Production;Forced Non-Leaf Node Lookup:crop production|TI|MM|64^15^0
43443260|Reproduction|D012098|1000|MH|Forced Non-Leaf Node Lookup:reproduction||MM|156^12^0
43441263|Humans|D006801|124600094|CT|Forced Humans: humans;Forced Humans: people;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|650^6^0
43441263|Animals|D000818|124600094|CT|Turtles;CT Treecode Lookup: B01.050.150.900.833 (Turtles);Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species)||MM;RC
43441263|Adult|D000328|124600094|CT|Forced Leaf Node Lookup:adults|TI|MM|1045^6^0
43441263|*Turtles|D014426|16157559|MH|RtM via: Testudinidae;RtM via: Turtle;Forced Leaf Node Lookup:tortoises;checkForceMH Boosted|TI|MM;RC|814^9^0;497^8^0
43441263|*Endangered Species|D056727|10778995|MH|RtM via: Endangered Species;Forced Leaf Node Lookup:endangered species;checkForceMH Boosted|TI|MM;RC|1135^4^0;951^4^0;413^18^0
43441263|*Ecosystem|D017753|5397794|MH|RtM via: Ecosystem;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM;RC|297^10^0;97^10^0;704^8^0
43441263|Mexico|D008800|5385974|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|754^6^0
43441263|*Gardens|D000072506|5384738|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|986^7^0
43441263|New Mexico|D009516|5383661|MH|RtM via: New Mexico;Forced Leaf Node Lookup:new mexico|TI|MM;RC|1219^10^0;1020^10^0;676^10^0;529^10^0
43441263|*Benchmarking|D019985|5383352|MH|RtM via: Benchmarking;RtM via: Benchmarks;Forced Leaf Node Lookup:benchmarks|TI|MM|380^10^0
43441263|Arizona|D001130|5383214|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|854^7^0
43441263|North America|D009656|3330|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM;RC|1303^13^0;47^13^0
