CnE8YNEAAAAJ;Witness  Mojeremane;25652621
ZXcV3NEAAAAJ;Walter  Wilczynski;3882874,1448259,10.2307/1445996,10.2307/2409514
hU_AUngAAAAJ;Olli  Vapalahti;23736732,27651320
PB2pJJMAAAAJ;Veijo  Kaitala;23735823,23736030,23735688,23736520,23735951,23735816,23736777,23735841,23735484,23735784,3449428,3879183,3449271,3449272,4134835,3683032,3683019,2640481,29738787,1555775,10.2307/5728,2693539,3547949,3547687,10.2307/3546852,40235598,3547882,10.2307/3545647,3548041,4223546,10.2307/3546556,40235600,3547740,10.2307/3546456,10.2307/3545809,10.2307/3546810,23434669,10.2307/3565713,40235318,3547643
nKXDTlcAAAAJ;Kristine M. Averill;20622035,40926890
IpZYLcIAAAAJ;Gregory  Starr;20181778,23359387,27646083,3107960,4222682
UqBlHZUAAAAJ;Miriam  Goosem;30045485
qWkcUssAAAAJ;Peter  Bruyns;42792903,42794854
AwyaRkMAAAAJ;Michael J. Hambrey;10.2307/1550609
gDi62_AAAAAJ;Daniel Liptzin;4095914
p2A7JcIAAAAJ;Tony R. Walker;4315726,24827057
gYAA8-wAAAAJ;Joachim Otto Habeck;4315726
UEGJbm8AAAAJ;Timo P. Karjalainen;4315726
5T_PlhEAAAAJ;Scott D. Young;4315726,42952553,24130128,24366835
LcdvrnEAAAAJ;Tim  Ingold;4315726
NvSbyMoAAAAJ;K. Ramesh Reddy;20055266,24715204
ACmVccgAAAAJ;G. Allan Johnson;2445231,2995257,2444849,4274855,4270344
uvp7PcYAAAAJ;Debashish  Bhattacharya;2656591,4123850,3558445,10.2307/2410032,4278064,41434225,41434226,23392098,23674235,41496336
eKxrM0QAAAAJ;Andrew J. Burton;1469979,10.2307/2641265,29779526,41507790,4134791,10.2307/177276,3659032,10.2307/3100029,10.2307/2261590
ELyTSeIAAAAJ;Analia  Artabe;40793382
hgRmRNQAAAAJ;Wei  Fang;3683841,3599426,3548147
