CnE8YNEAAAAJ;Witness  Mojeremane;25652621
15X9OTYAAAAJ;Thomas J. Near;3449081,23463855,10.2307/1447589,40863394,1447918,3449433,25483575,25140670,41240785,4098701,3449080,23464140,25622961,1448335,40793189,40306233,25512231,1448701,3449082,3448762,25622968,23463826,3884934
w3vepsEAAAAJ;Marina  Fischer-Kowalski;24707470
Az8STfsAAAAJ;Eduardo  Amat;90008609
mdGPRhYAAAAJ;Enrique J. Chaneton;3683781,27651400,27651080,1555809,10.1086/658921,4496022,10.2307/3899525,4223046,41499927,3547819,41500650,41499929,40310185,40210635
alkBVs8AAAAJ;John P. Hayes;2387303,4543397,2386915,1383397,10.2307/1381922,27755109,30224459,40205668,10.2307/1382902,4094501,25145210,10.2307/3536617,40309787,10.2307/3536559,10.2307/3504418,10.2307/3504149
dZ3hlqgAAAAJ;Roland  Langrock;41739305
ESLfcHEAAAAJ;Ruth  King;41739305,41739373,20869950
ZOenvrQAAAAJ;Jason  Matthiopoulos;41739305,3450632,41151176,27651403,41318864,3505452,3505823,3505413,3505412,10.2307/3546377
Ur__1s0AAAAJ;Len  Thomas;41739305,2387304,2386863,41151161,25623132,3505452,3838375,3505930
pbDNaxoAAAAJ;Christopher Irwin Smith;25150870
C62CV_IAAAAJ;Kumar P. Mainali;3868754,20440573,20440546,10.2307/3868580,10.2307/3868480,3868698,3868780,3868858,3868728,3868840,20440695,10.2307/3868626
XHYkGxwAAAAJ;Frederick R Adler;43187704
yatwUGkAAAAJ;Diane E Pataki;43187704,41149674,43187683
kgT8kL4AAAAJ;Patrick  Mardulyn;24033710
BIn_4_IAAAAJ;Suzanne  Palminteri;3589051,25790845
bLUuUp4AAAAJ;David  Olefeldt;43677532
lZN9JMQAAAAJ;Lila  Fishman;3094657,2640655,3449321,4095331,23259755
ZIuiWPQAAAAJ;Darragh J. Woodford;23596898,24060722
KMK6_voAAAAJ;Leonard  Shabman;25595037
nID94UcAAAAJ;Sanjay  Shukla;25595037
Y8QtGWIAAAAJ;Nicholas J. DeCesare;23213945,4094510,23488476
KX3pbLMAAAAJ;Jesse  Whittington;23213945
XPDTjIEAAAAJ;Matthew  Wheatley;23213945,4126869,3505990,1383535
pOA3kgsAAAAJ;Marco  Musiani;23213945,3588902,10.2307/1382681
g73dKS0AAAAJ;Reyes  Tirado;40061753,3548635,4223674
jvOHl7wAAAAJ;Kelly  Kindscher;43436436,40346295,4257172,25680408,40390613,4255194
v1Y7Oj4AAAAJ;Carole C. Baldwin;10.2307/1447980,41416598,10.2307/1446477
vuVzyiQAAAAJ;G. David Johnson;10.2307/1447980,10.2307/1443963,10.2307/1446531,1448269,10.2307/1444251,25140640,10.2307/1444346,40863451,4126515,4524505
6Dz2_9wAAAAJ;Scott  Ferson;2641998,2387000,10.2307/3061056,2385964
EafbEy8AAAAJ;Jeffrey T. Foster;4620948,41489084
i4dOPdcAAAAJ;David J. Currie;27651229,41151214,2387196,3658954,2642007,20532092,4640668,41239479,3697658,3547283,10.2307/3546780,10.2307/3545095,25609443,10.2307/3544825,4250795
ZRwQfzAAAAAJ;Jeremy T. Kerr;4493577,41151214,23440928,30243185,2641524,2387196,30244647,3591151,27651318,27651314,41239479,41310228,3697564
rLwLezwAAAAJ;Alicia  Ledo;43494723
K5vhwUAAAAAJ;Masami  Hasegawa;10.2307/2409071,40996119
XHOf7KwAAAAJ;Masami  Hasegawa;10.2307/1447190,10.2307/1444866,3892076
HqL1E2EAAAAJ;Jason  Dunham;3588863
sT2i5HkAAAAJ;Yaniv  Brandvain;25483657,41465324
4n1JJh4AAAAJ;David A. Etnier;1448483,10.2307/1441659,1448429,10.2307/1444974,10.2307/1444412,10.2307/1443193,1448023,10-010,25082587,25083021
l6eVqKEAAAAJ;Ross K. Meentemeyer;40062137,25661057,29779660,41413040,23597363,4495989,3236672,43288626,43288625
wUe-C6kAAAAJ;Carlos  Carroll;29738685,20183484,10.2307/3061005,4134776,4620921,3061166,3095371,3589183,4123798,3566250
QGGQpNsAAAAJ;Jodi  Hilty;29738685,3095279
wehnRfwAAAAJ;Fabian M. Jaksic;40930611,10.2307/1443242,3696869,10.2307/1379775,10.2307/4044,23017052,10.2307/2844716,4539125,2693460,40205655,10.2307/1564870,10.2307/1382901,3505376,4220450,10.2307/3546500,4221324,10.2307/3546502,40235677,4221986
GKDe_G8AAAAJ;Charles R. Lane;4493580
qa-o0IwAAAAJ;Stuart  Wagenius;20069023,3107844,27784043
vm5GDwIAAAAJ;Ralph Mac Nally;3589033,20183511,3095238,4620872,25680374,23501465,25680388,25680387,3696922,3591298,40390779,10.2307/3099924,30243250,3589075,3696840,3061368,3554747,10.2307/5275,4539169,4125139,827547,3697641,25145109,3548365,40210891,4222985,20146722,4223392
o2kBNdkAAAAJ;Marc W. Cadotte;23229920,23035090,27650658,20069030,40930610,20532118,40604237,41318853,40958959,27695942,41318851,20445981
GU6p2KoAAAAJ;Russell  Dinnage;23229920,20143540
xRXFQTEAAAAJ;Stephen J. Beatty;20107445,4094211
2DAbf5oAAAAJ;David L. Morgan;20107445,10.2307/1447407,4094211
KywW7cQAAAAJ;Paulo R. Guimarães Jr.;27650713,40235515
lyQwN0kAAAAJ;Richard M. Greene;40347259,4274671
Ayaf5QoAAAAJ;Michael J. Risk;2673326,1304251,1303681,10.2307/3515644,24874302,10.2307/3515236,2401076,24842430,4216629,3515682
HQlTKrIAAAAJ;Timothy J. Cline;23253689
lmMRIlEAAAAJ;Julia E. Earl;23596836,23501502,40664954,41686360
BrxDtAQAAAAJ;Akira  Okubo;10.2307/1937537,4251291
a9TJ89AAAAAJ;Adrian C. Newton;2559415,24037917,10.2307/3761297,24130839,23388355
3SrKpjsAAAAJ;Andrew J. Brooks;23034829,23143887,43494799,24872705,40210507,41499877
wSERs08AAAAJ;Andrew J. Brooks;41319680
OprfRbYAAAAJ;Emmanuelle  Jousselin;25150785,3448849,25790824,3691892,4223517,3547573
FM3DZYUAAAAJ;Simon  van Noort;25150785
qi965ewAAAAJ;Vincent  Berry;25150785
mGJ4y0AAAAAJ;Nina  Rønsted;25150785,24717379
MrEolfcAAAAJ;Richard A. Griffiths;20183467,10.2307/1564344,3505928,10.2307/1565212,20869964,10.2307/3545336,40005757
zmZUHQEAAAAJ;Frithjof  Lutscher;40061698,23440928,25592625
8JCigasAAAAJ;Örjan  Bodin;40604240,40062253,30244658,20696436,40061668
vNSBkroAAAAJ;Andrés  Pérez-Figueroa;24033796,20183522
UmypILUAAAAJ;Aurora  García-Dorado;24033796,3448840,10.2307/2411042
LjuCA6AAAAAJ;Drew  Harvell;10.2307/3868363,10.2307/1938043,25592578
DDd1gSAAAAAJ;Leah  Gerber;10.2307/3868363,3095220,3505902
PsUKJmkAAAAJ;Kiho  Kim;10.2307/3868363,23047069,24871066,24859048
t0CCa7wAAAAJ;Hamish  McCallum;10.2307/3868363,40603300,40419697,4543447,3591110,41151205,3505902,4539201,41318966,20869964
6pj0cygAAAAJ;Kevin  Lafferty;10.2307/3868363
arY8Ms4AAAAJ;Mercedes  Pascual;10.2307/3868363,10.2307/177340,10.2307/176905,10.2307/2680237,10.2307/3868439
HQSIimoAAAAJ;Scott A. Taylor;24703824
Vi0LoiAAAAAJ;Irby  Lovette;24703824
kvgWLmAAAAAJ;Brett T. McClintock;23597222,41722881
20ZQ2zUAAAAJ;Larissa L. Bailey;27651180,23213734,4493573,41151150,24637160,41722881,27797806,24432228,3450871,40061699,25680401,25680365,43287353,40060463,1565776,20870028
EAoLCMsAAAAJ;Effie A. Greathouse;40061803,20446042
fLsUhSwAAAAJ;Jeff G. Holmquist;40061803,10.2307/1547997,10.2307/1547882,10.2307/3546776
CDOx4WAAAAAJ;Kevin  Gross;10.2307/3071994,2989848,23596973,3450876,20183475,4222518,3547474,20146481
MQNbAu4AAAAJ;Jacob  Bendix;25622901,3237145
UlL9wB4AAAAJ;Trevor  Price;10.2307/2409909,10.2307/1938373,10.2307/2410994,10.2307/2410135,2647331,10.2307/5303,10.2307/3677316,4217645,4219641,10.2307/3546026,10.2307/3546365
qCdJ_FQAAAAJ;Michelle S. Koo;4627098
pydJx6UAAAAJ;Brett R. Riddle;4627098,1447879,10.2307/1447556,10.2307/1446817,40793184,10.2307/1447699,10.2307/1447471,10.2307/1380877,4126893,4498763,4094356,3566401,2997864,40662621,10.2307/1382709,3182662,30224476,20870206,20488327,23259933,27743514
rFN-wE4AAAAJ;Feng Sheng Hu;3658932,23435986,20069263,20440746,30140747,27809091,3554499,3599505,3697530,3599688,25256194,newphytologist.197.1.16
XXopFyMAAAAJ;Mark S. Peterson;24320456,23273251,1448741,10.2307/1447262,40065141,43290092,4223657
g-gfAJ8AAAAJ;Charles M. Francis;3591073,2559191,4512533,3677735,23355830,4091826,10.2307/1381730,23355764,2559986,20062165
Ie9ZFrAAAAAJ;Jay  Barlow;2641773,10.2307/2269369
TDLRYzMAAAAJ;Kevin A. Feldheim;3449480,25483654,1448300
Pe74S2oAAAAJ;Gilad  Bino;23596809,40958956
ybi4V0kAAAAJ;Paulo Andreas Buckup;1448518,10.2307/1446639,10.2307/1445382
i5n7bSgAAAAJ;Rosalie F. Maddocks;20103415,20104374,20102174,20101951,20101904,1305216,1304114,10.2307/1549130,10.2307/1548656,10.2307/1485163,10.2307/1485400,10.2307/1485572,1486143,4097092,10.2307/1485333
Tqu8sRwAAAAJ;Jan H. Stock;20103028,25027380,20102331,25027573,20088752,20104276,20102300,20103605,20105218,20104753,20102393,25027434,20140984,20101630,20101615,20103155,20101998
jnw0mikAAAAJ;Raül  Ramos;41058182,41811810,40309967
NivLvLsAAAAJ;Lluís  Jover;41058182,24875646,10.2307/3676362
wRUow4cAAAAJ;Charles E. Mitchell;10.2307/3071990,27797829,10.2307/3868313,25661105,27651191,27754320
M1wfHTwAAAAJ;Charles E. Mitchell;4095058,1306906,1305546,1306117,1306527,10.2307/3515524,10.2307/3514880,27670511,3595486,1558080
ttOVsTQAAAAJ;William  Godsoe;24060821
dLxOfNYAAAAJ;Boris R. Krasnov;3683385,3683387,4539928,3683477,30243147,3683678,40801856,3554784,3697553,40835468,3505601,3505517,3566214,30054683,3548789,41499910,23259756,40309974,23597825,40213068,20445881,40210621,40235157,20062492,4223515,20446017,40213111
x05GdmgAAAAJ;Stephen  Bocking;3985561,25473165
W6GiXPQAAAAJ;Jerome  Chave;40205519,3697505
bTk9RH0AAAAJ;Japo  Jussila;3589027
fAkqlQgAAAAJ;Lennart  Edsman;3589027
w6AOE7AAAAAJ;Per  Sundberg;4094127,10.2307/1563447,10.2307/3565516
hburqLQAAAAJ;Tuukka  Petäjä;43495198,43493764
ziIOtYYAAAAJ;Anna-Liisa  Laine;43495198,20069018,20142760,24032856,24038283,41058841,3548216
J3TGLoIAAAAJ;Michael  Newton;10.2307/2937201,41425832,42947478
OK8Z30IAAAAJ;Pierre  Dutilleul;10.2307/1939923,4493678,10.2307/3545210,4223183
pY7h7nMAAAAJ;Lev R. Ginzburg;27651267,10.2307/1940937,2385964,2647501,10.2307/5764,2647487,10.2307/5585,3547795,2400694,10.2307/3546616
DwrrLoIAAAAJ;Ralph T. Clarke;3450721,4539116,4222724
gAf-cj0AAAAJ;David C. Haak;43493766
i5w5bmAAAAAJ;Ashley A. Rowden;3683709,3682873,20172054,40305880,24855728,24867993,24866040,24870694,24874494
M3OVRwMAAAAJ;Andrew  Foggo;40213102,40210562,20051069,40005670,24867547
rQbOWpEAAAAJ;Takashi  Noda;10.2307/2679848,40928263,2693485,10.2307/5722,3599664,24874056,24829264
hxHYAA8AAAAJ;Emily S. Bernhardt;40928229,3658640,10.2307/3071988,10.2307/3071768,10.1899/12-046.1,41416632,3658896,20441018,41151189,41416629,10.2307/3868439,41416628,40792589
5rTcvDAAAAAJ;Ursula  Gaedke;10.2307/3100027,27651337,25661037,41333068,40235514,40234872,3548590,40210580,40859855,23259719,40926686
wN7tQ1wAAAAJ;Eric A. Strauss;10.1086/677806,3658776,4095717
aL0AMIsAAAAJ;Annette  Kolb;20068974,20788154,3697586,3599672,3236754,41412381,20146955
S-RFMf0AAAAJ;Samuel J. Tazzyman;24033803,24032859,24033835
L_JGehAAAAAJ;Sebastian  Bonhoeffer;24033803,40664007,30142905,2640474
4UIEFcIAAAAJ;Jordan F. Clark;27645929
C9peJX8AAAAJ;Peter B. Pearman;10.2307/3100083,2387359,10.2307/1940841,24032768,24033787,3061458,40061791,3893190,3893038,4220920,10.2307/3536897
mlg9MQgAAAAJ;Matti  Rousi;10.2307/2265899,24038694,40234895,4223187,3547749,23362472,40210697,10.2307/3545581
5EzzD2AAAAAJ;Jack J. Lennon;27651441,10.2307/5898,3697430,2693500,3182723,3547928,3547929,10.2307/3545610,41499936
87sxay8AAAAJ;Colin D. Campbell;3838419,27754348,40731415,24366849,25256222,42952904,24130702
qgVoa6AAAAAJ;Jef  Huisman;10.2307/176991,10.2307/2679953,10.2307/2265498,24432251,40061801,3450536,27646026,24875599,24866361,41434211
Y1Rnt6YAAAAJ;Andrew J. Larson;23596820,40062198
Dh5wdFEAAAAJ;R. Travis Belote;23596820,41416778,3868870
ubEsVkUAAAAJ;C. Alina Cansler;23596820,24432236
EsKPp_kAAAAJ;Margarida  Matos;4095290,25150792,3449375,4621374
7j1hdvwAAAAJ;Mauro  Santos;4095290,10.2307/2410722,10.2307/2640930,41465335,10.2307/2410485,10.2307/2408721,10.2307/2408719,10.2307/2410929,2680355,10.2307/2410497,10.2307/2408060,41319578,10.2307/2411114,41319612
NkqoGZAAAAAJ;Alexander L. Bond;23022974,24874617
RRKHGEkAAAAJ;Ana  Llopart;3094668,3449053
WF56i_4AAAAJ;Andrew S. Pullin;3682914,4124692,29738815,2641645,40864189,3838419,20144036,10.2307/3565552,10.2307/3565285
KADbq-AAAAAJ;Susan J. Nichols;10.1086/678946,09-165R1
ZMHzX5wAAAAJ;Richard  Law;3108013,10.2307/1940065,10.2307/2265500,3450256,10.2307/1939388,10.2307/2407745,3108043,23597121,23034848,10.2307/1937291,10.2307/1937069,3599635,20528892,10.2307/2260428,2647277,10.2307/2960573,4096709,3505582,2647475,20143282,3547027,10.2307/3545891,24863829
rAcGGSgAAAAJ;Ulf  Dieckmann;3108013,3448969,23463794,29783010,3094584,3061650,30141615,10.2307/2960573,3599397
WvRT5PMAAAAJ;Scott M. Swinton;10.2307/3868443,4602878
9Yte2wwAAAAJ;Tom  Thomas;10.2307/2269549
-aQaHIoAAAAJ;Giacomo  Bernardi;3448928,10.2307/1446912,3448761,2640489,10.2307/1447834,2640870,24875644
ogVUBZIAAAAJ;Ken N. Paige;3450499,23034894,2387166,10.2307/2409885,10.2307/1939861,29738827,2386394,2387543,4222244,4221083,4220155,4222979
3XPgswgAAAAJ;Robert C. Deal;24114990
km79A9IAAAAJ;Susana  Dias;10.1086/676657
Z-3Lx_UAAAAJ;Robin  Aguilée;23464144
uJrSBUgAAAAJ;Rodrigo H. Bustamante;3100009,3100008,2845850,4220948
PqY1gEIAAAAJ;Rodrigo H. Bustamante;3100009,3100008,2845850,4220948
ndVTt1IAAAAJ;Jenifer  Dugan;3100009,3100008,4539953,24849821
nnoTzREAAAAJ;Mary  Ruckelshaus;3100009,3100008,2641756,3100007,2387357,10.2307/3545979
uiel96kAAAAJ;Alberto  Acosta;25790835
EZk2dkwAAAAJ;Charles  Linn Jr.;3449124
2lbWNPAAAAAJ;Andrew A. Forbes;3449124,4540059
5Vbw_V8AAAAJ;Jeffrey L. Feder;3449124,10.2307/2411008,10.2307/1939346,24032705,27743465,23261921,40664014,24032712,10.2307/2409437,25483670,10.2307/1445041,2680282,3061266,24032713,41240810,4540059,4220904
4iKkWn4AAAAJ;John M. Grady;41739263
u6kA98wAAAAJ;Harry R. Carter;10.2307/1521401,10.2307/1521540,10.2307/1521079,10.2307/1521541,10.2307/1521603,3858457,30131050,4095774,4095800,10.2307/3536750
RBARWe8AAAAJ;Karel  Mokany;25173176,20143534
69w9deQAAAAJ;Stefan  Garthe;10.2307/1521861,23023122,3505703,44145282,24873669,24844808,24873719,24873872,24873670,24856717,24874014,24853201
AnXbpVUAAAAJ;Stephen  Votier;24874467
TYRM1jcAAAAJ;David  Grémillet;4539105,25741268,41151156,25741321,10.2307/3677340,30243896,3677541,24871053,20445861,24875221,24870772,41499921,24871133,24853278,24853346,24851825,24869971,24853201
HagiwgEAAAAJ;Juli  Carrillo;23021622,40929065,23267479,41686247
nxv5kSkAAAAJ;Åsmund  Rinnan;40928213,24369089
_-oDmaAAAAAJ;M. Kurtis Trzcinski;40061958,2641692,10.2307/2641146,20143298
kAzTYTsAAAAJ;Nathan R. Lovejoy;41240762,1447878,2640630,3884600
cEZJK40AAAAJ;Joseph C. Waddell;41240762
2AzMfX8AAAAJ;Carlo  Rondinini;3591117,4620989,3683731,4620985,3591163,4640551
hxOYFqgAAAAJ;Stefanos  Sgardelis;10.2307/1521692
d4b7yiAAAAAJ;Romina  Rader;25623089
CQu-cXQAAAAJ;Kayla C. King;29783028,27759746
Zdz8FX4AAAAJ;Kerri M. Crawford;23435945,40864699
ld-Cn38AAAAJ;Oscar  Puebla;25592849
ISERj14AAAAJ;Sewall  Wright;10.2307/2406450,10.2307/2405441,10.2307/2405519,10.2307/2407990,10.2307/2405776,10.2307/2406213,10.2307/2405641,10.2307/2408092
DDtbzMIAAAAJ;John H. McDonald;10.2307/2409151,10.2307/2409179
tVmvNMIAAAAJ;Jason J. Moghaddas;27645971
VtyjXB8AAAAJ;Andrew  Youngblood;3589165,27645971,27645973,10.2307/2680188
TRY3jP8AAAAJ;Carlos David de Santana;23273222,25512221,25622998,24635715,25622999,23273262,25140642
sIQvXIUAAAAJ;Cristina Cox Fernandes;23273222,1448667,4126549,1447923,10.2307/1447530,10.2307/1447805
T4nGg8MAAAAJ;Thomas K. Doyle;20069181,24870123
4fyDMpYAAAAJ;Emilio  Fernández;10.2307/3071855,24868646,24853353,24855506,24849672,24875249,24866924,24833624,24864816,24869011,24867628
yxOnaOUAAAAJ;Carol  Robinson;10.2307/3071855,24852087,24855500
L-i6rr4AAAAJ;Oskar  Kindvall;3683783,10.2307/2265670,3095298,20113251,2386362,2647308,10.2307/3546766
1qdXEVsAAAAJ;Anton D. Tucker;10.2307/1447305,10.2307/1447661,10.2307/1565970,10.2307/1564689,3892822,3892161,3892585
-3etC50AAAAJ;Stephan B. Munch;23435961,3448883,40793195,3449259,23440919,23436292,43494347,3450040,41722892,20788112,29779537
4oDrVuoAAAAJ;Jaime  Garcia-Moreno;2386854
BDm9788AAAAJ;Larry R. Brown;10.2307/1446408,25680388,40792587
g88I1uYAAAAJ;Ernest H. Williams Jr.;20104065,1448210,20105594,20106067,10.2307/1548097
fSaq2XYAAAAJ;Joshua W. Ellsworth;3588903
fBvHRgYAAAAJ;Marilyn  Mazzoil;24322274,24321043,24321785,24321582
XDoiiQ4AAAAJ;Stephen D. McCulloch;24322274,24321043,24321785,24321582
IoWJUWMAAAAJ;Sean R. Connolly;27651039,41416761,10.2307/2680048,23034999,27651652,23213916,29779541,23213737,1558103,24033415,1558102,24870082,24873951,1558101,3595506
-66nqTEAAAAJ;Erik  Svensson;10.2307/1940712,10.2307/3676940,10.2307/3546671,10.2307/3676361,10.2307/3546674
qPJ38IUAAAAJ;K.N.  Singh;23789926
o-qqiuwAAAAJ;Sammy  De Grave;20107888,20105277,1549894,2656200
WkHdP0MAAAAJ;Stefan  Schwarze;20696484
AbERuDMAAAAJ;Eli  Meir;2641914,24855773
4QXo4UEAAAAJ;Angela J. Brandt;23021620
6TfHqNgAAAAJ;Jean-Marc  Fromentin;24856130,24856132,24855593,24872479,24875571,24852046,24859061
w0KfGMUAAAAJ;Jiang-Shiou  Hwang;20105692,20106111,27743220,20107580,20107941,20107671,20111396,20487771,24855576
mofnyYcAAAAJ;Hans-Uwe  Dahms;20107941,20111396,20487732,40665260,10.2307/1549323,4219606
EcZFEcAAAAAJ;Géza  Meszéna;25470398,3548727
uZtcpLkAAAAJ;Richard L. Revesz;24114246
Kqc-M6QAAAAJ;Emily L. Behrman;24032774
kHl4QsMAAAAJ;David M. Marsh;2641644,20183432,2387359,3591222,3061383,4493698,3450518,1448024,10.2307/1565370,1566049,2647330,40931034,4222573
1vIlj78AAAAJ;Erica  Goetze;3449146,23016320
ciCEJvkAAAAJ;Mattias  Jonsson;20113276
O4oZe8kAAAAJ;Mary M. Conner;4543340,27650989,40062171,4493697,1384030
i2Wn9EQAAAAJ;Loretta C. Johnson;20752575
EBnjjY8AAAAJ;Edward  Rastetter;4539091
CHFH_gQAAAAJ;Sherry L. Martin;25595200
cYJbLR8AAAAJ;Georgina  Mace;29738719,3095278
xii9qAcAAAAJ;Alan D. Thornhill;29738719,2386467
VxXGhekAAAAJ;R. Craig Stillwell;4095351,3450846,40210867,40210863,40235376
welm4iUAAAAJ;Kyle A. Young;4095351,27784035,3061459,40793179,3450476,3547351
tU4roK8AAAAJ;Amatzia  Genin;10.2307/1447158,24873730,24853169,24866337,24853168,24871867,20062505
Z3-RzE0AAAAJ;Alexander J. Stewart;41503464
XagTJDMAAAAJ;Todd L. Parsons;41503464
WANIT2oAAAAJ;Joshua B. Plotkin;41503464,23262003,10.2307/3072015,10.2307/3072084,24033865,24032733
71742kEAAAAJ;Katrin  Hammerschmidt;40306274,25483596,24874430
ftIm6jEAAAAJ;James C. Chubb;40306274,25483596
1JmtIa8AAAAJ;Geoff A. Parker;40306274
lh4BEToAAAAJ;Maarten B. Eppinga;40296305,27860799,41059099,40305591,40234860
E0lPuwwAAAAJ;Christopher C. Mundt;24432277,29779661,10.2307/2404684,4220035
d9ll-EYAAAAJ;Katsuyuki  Hamasaki;40665214
_vVCUiIAAAAJ;Adam B. Smith;4539093
3u8CsXkAAAAJ;Brody  Sandel;23435953
2FLX7okAAAAJ;Ellen  van Donk;4220291,40235255
_4PzVMEAAAAJ;Terry W. Snell;10.2307/1936069,10.2307/2407451,10.2307/1935512,10.2307/2408849,4216178,4215559
aWFjtzwAAAAJ;Richard E. Broughton;25622972
d_G0tbAAAAAJ;Eliezer  Gurarie;23260099,27755077,41499782
NspppAwAAAAJ;Richard W. Zabel;3591165,10.2307/3061144,3450404,40605400,25623078,3838402,4223427,24033445
qEWD__cAAAAJ;R. Emiliano Quiroga;25741354,23500416
ZrWq0WUAAAAJ;Roberto J. Fernández;25741354,3683740,24036403,24125353,23500416,4222595
KcIZFi4AAAAJ;David O. Conover;20440558,1448608,3448883,10.2307/1446040,3449259,3450079,10.2307/1445667,10.2307/1937256,10.2307/2410026,3450040,23273228,29779537,4219339,24855520,24863828,4222533,24849676,4223449,4222334,40213073,4221553
BYVNAJAAAAAJ;Jeremy M. Davis;20106284
AJFP8BAAAAAJ;Rampal S. Etienne;27651046,24033715,3806576,25483576,3108011,40205486,27651394,4543477,40235525,40235058
eBFijfMAAAAJ;Leif-Matthias Herborg;4620954
OJT9f-oAAAAJ;Ian G. Warkentin;2387047,29738845,3858382
kuwQv_cAAAAJ;L. David Smith;3591024,24872829,4219916
2CTM4bsAAAAJ;José María Fernández-Palacios;3235826,3237094,3237311,40925572,3236608,20488378,3236213,3236241,41058240,24130887,20050646,40212883,20146836,24130547,20146364
voUFWNUAAAAJ;Christian  Andersson;3235960
3HtWshMAAAAJ;N. Thompson Hobbs;4543340,40062058,3107861,40062112,27806885,4134741,27651149,40061719,20068913,10.2307/1941109,29779578,10.2307/2269564,40061952,10.2307/2269565,10.2307/2389848,40061776,3505392,40213098,40210701,20062437,20062544,10.2307/3546866,10.2307/3545311,3548633,20445960
Hl3rfMMAAAAJ;David M. Theobald;4543340,4134741,20183382,3588910,3674204
FSM0SSAAAAAJ;Erich T. Hester;10.1086/679655
UUTrWnkAAAAJ;Sue  McIntyre;3683679,40212935,40607014
mZkyhDcAAAAJ;Fabien  Quétier;27651025,20143472
BqUZCv8AAAAJ;Aurélie  Thébault;27651025,27646071,20143472,41686365,23209346,40859856,41508721
CI1RC5oAAAAJ;P. Stephen Baenziger;23786164,23787198,23786963,23783831,4293684,4293811,41942808
JshUbQ4AAAAJ;Matthew R. Walsh;27743477
5piS4QwAAAAJ;Jeffrey L. Peters;30134274,25150757,4627014
170dXcwAAAAJ;Gopalasamy Reuben Clements;23034464,23034469
Ih5f79MAAAAJ;Oscar  Venter;40925310,41479956,40419623
9vyKmwIAAAAJ;Daniel N. Anstett;43493917,24032791
pymZJakAAAAJ;D. Richard Cutler;27651436,4493548
9x63d4gAAAAJ;Adele  Cutler;27651436
jcVy5tMAAAAJ;Gabriel C. Costa;25592709,4092984,41310207,40205673,3893385,41515006,41058242,40801849
PQv9Jt8AAAAJ;Cristiano  Nogueira;41310207,10.2307/1565988,1565865,41515006
r9N_RC4AAAAJ;Ricardo B. Machado;3591058
_EXXIqAAAAAJ;Arpat  Ozgul;40061763,25661176,23034893,27646017,4094368,25145105,3505557,40213060
yreExAcAAAAJ;Patrick B. Shafroth;10.2307/3061140,2387054,29779674
_K1AD_MAAAAJ;Juliet C. Stromberg;10.2307/3061140,4124782,2665438,25173208,41424910,41424909,42951734
10pWhfkAAAAJ; Jiří Danihelka ;4181199
u0Sk5NkAAAAJ;Julia  Reiss;25661075,41332021
O7a-UhQAAAAJ;Jenny M. Schmid-Araya;25661075,3505424,1555780
En1UXb4AAAAJ;Simona  Castaldi;25053815,24129909
oS5oJoMAAAAJ;Elsa Matilde Zardini;4255776,10.2307/3391705
CaOhZJAAAAAJ;Jeffrey A. Seminoff;25140663,41474651,41406820,24875430,24875318
gHCXkBEAAAAJ;Wallace J. Nichols;24866148,24867162,24867954
KQYiP9sAAAAJ;T. Todd Jones;1566084
IEsA3MQAAAAJ;Andreas  Schuldt;23047064,20696280
aU3Ag4MAAAAJ;Zhiheng  Wang;3868880,3868883,20445977
ZZRWgsgAAAAJ;Salit  Kark;2641869,2680454,3591120,41245548,40205695,1555777,40958956,4139439,24873730
DkgCYw8AAAAJ;Miguel A. Pascual;10.2307/1941942,10.2307/2265613,4620958,10.2307/2404645
DLR2FcAAAAAJ;Matthew S. Edwards;3547099
ZJoZoV8AAAAJ;Yaning  Chen;29738768
4SreMBoAAAAJ;F. Helen Rodd;10.2307/2266018,25483680,10.2307/2266017,10.2307/2657178,10.2307/4452,10.2307/1380278,10.2307/5091,27759745,10.2307/3545440
VqzWWAcAAAAJ;Jodi N. Price;30243150,41739290,24033425
pNI_pvEAAAAJ;Thomas  Larsen;25660997,40407725,24125653
7x8RSFcAAAAJ;Mary Beth Leigh;25660997
_zycsjkAAAAJ;Diane M. O''Brien;25660997,10.2307/177344,10.2307/2265878,40859811,40309700,3548089,40309849
NXfMyAgAAAAJ;Ronen  Kadmon;3879176,3591219,2999799,10.2307/1940467,43493773,10.2307/177305,10.2307/3061072,10.2307/1940808,4134701,10.2307/1941204,4543357,4493547,3838567,3237071,10.2307/2261564,20144010,4123815,2846094,3237108,20050978,4219307,4220201,10.2307/3546647,20050475,20050860
kbSQaBUAAAAJ;Stefano  Fenoglio;10.1086/677038
9a6igV8AAAAJ;Artemis  Nicolaidou;25027756,24870833
vqmzg6wAAAAJ;Heok Hee Ng;25140788,1448745,25512222,25512237,4098648,1448642,25140750,1448679,20869949
kA8Oyg0AAAAJ;John S. Sparks;25140788,40863448,1447892,1447931,25140672,23273218
aBfIXSUAAAAJ;Kirk A. Moloney;10.2307/1938274,10.2307/1937381,3591014,3683026,10.2307/1383102,3505726,3547871,25681927,4217925,20050682
-Y0F3cAAAAAJ;Karen  Dempsey;10.2307/1446070
-G_4-jgAAAAJ;James  Franklin;20172012
WzAFwQQAAAAJ;Manfred  Mudelsee;40062138
