0qGAH1IAAAAJ;Josef  Urban;24039549
jfhxCncAAAAJ;Josef  Urban;24039549
X3vaXCMAAAAJ;James C. Bonner;4296582
vkyux8EAAAAJ;Ellen  Dierenfeld;20095335,40236524,27751690,40236523,30133220
O7oTp28AAAAJ;Claude Estournel;4300159
OiSkQDYAAAAJ;Yukiko  Tando;40793114
p7q68p8AAAAJ;Sonali  Roy;40793114
LCLsVoIAAAAJ;Triinu  Remmel;40540149
EkEOYzgAAAAJ;James R. Welch;40603000
1nvqVbMAAAAJ;Timothy W. Stewart;10.2307/1468053,10.2307/1468465,10.2307/1468381
CfKsvMQAAAAJ;Jim  Malusa;41972392
vWNn8owAAAAJ;Ary A.  Hoffmann;3691626
CIhhcEQAAAAJ;Carla  Pinheiro;23697007,24035761,23385961
ZhbD-y4AAAAJ;Kerstin  Schmidt;25623035
u6iUHWIAAAAJ;Mary T. Silcox;20144275,1383544
hwA5I8sAAAAJ;Lukasz  Kotula;24037903,24037759
bhs37f0AAAAJ;Kosala  Ranathunge;24037903,24039557,40065340,23390598,23387840,23391608
LH4_zvAAAAAJ;Lukas  Schreiber;24037903,23696304,24030491,24036243,24036240,24036061,24037769,24037651,23696406,24039557,40065777,40537694,23884126,23384374,23386954,23390598,23388473,23389022,23385832,40537617,23389829,41435695,4281089,23389131,23385872,23389730,23385413,23388756,23388883,23385042,23385697
TMKp-YEAAAAJ;Michel  Brunet;4524080,20627101,4524361,4524452,4523167,20061957,30126347,2666017
pAH7ycsAAAAJ;Noa Pinter-Wollman;4094562
dj3-qLcAAAAJ;Guohua  Xu;24037758,24039135,24130306,24125411,43191517,24129910,41812046,23274744,42952536
3SngvE8AAAAJ;María José Corriale;23259781
DSbbGNIAAAAJ;Zhi-Yong  Wang;20461599,4280488,4356726,4279182,23598530
eCqtKYQAAAAJ;Stephen J. Klaine;10.2307/1467785
wd1SXSQAAAAJ;Aleta A. Hohn;20096380,10.2307/1381693
O0WxedwAAAAJ;Jorge  Aranda;24036866
xZQz1NMAAAAJ;Michael W. Berns;3890680
ahigy_4AAAAJ;Angela  McGaughran;3554858,27743584
Zhnqx9IAAAAJ;Mark I. Stevens;3554858,27743584
XSuhV0oAAAAJ;W. Lindsay Chadderton;3554858
OAcpy4EAAAAJ;Sergio  Vargas;30133701
mFfX_GYAAAAJ;Odalisca  Breedy;30133701
jWwsF3EAAAAJ;Rana  Munns;23696672,24038851,24859845,24039032,24036060,24036058,4271643,24120933,4269239,4629723,24123899,42949795,20206053
2Jao6ucAAAAJ;Kathryn  Frank;43290179
QzK9wusAAAAJ;Bruce C. Douglas;30138761,25736151,4300223,4298854,4300181,4300019
RZgpqVkAAAAJ;L.A.  Bruijnzeel;43594301
hINFy9AAAAAJ;E. Charles Morris;3879587,40540167
UH3GS7UAAAAJ;Mário  Cachão;43843045,20491001,20143332,41332013,24413309
hWMM66oAAAAJ;Ricardo S. Ramalho;43843045
mcXlBucAAAAJ;Neftali Ochoa-Alejo;4293539
jdC6KIsAAAAJ;Egberto  Pereira;43556477
Wz6NG-8AAAAJ;Sérgio  Bergamaschi;43556477
94A27skAAAAJ;Robert L. Runkel;1468428,1468348,10.2307/1467958
vNetuBgAAAAJ;Gerald  Mayr;4524257,20491001,3677645,30126307,4524013,4524724
M9ErorkAAAAJ;Geoffrey W. Cowles;23486354,24873109
SVWF14sAAAAJ;Octavio R. Rojas-Soto;27715270,3554572
V9_8aqQAAAAJ;Agnes  Anderson;43290934,43752416,43290942
aXQBFaIAAAAJ;Are  Kont;43290934,30138685,30137847,43290942,43752369,43290957
ZiaPAgMAAAAJ;Mark P. Miller;10.2307/1467436,3893587
QU8g3AsAAAAJ;Jens  Oldeland;23012423,23012417,40802578
4B-0P-UAAAAJ;Mary  O''Connell;24036559
eBwLNR8AAAAJ;Kyeong Ok Kim;43752438,43752378,44289495,43752439,43683582,44289496,43752547
_hzQXYUAAAAJ;Han Soo Lee;43752438
CrIH5N0AAAAJ;François  Darchambeau;27696002,3548701,4223682
cFgW6iUAAAAJ;Jorge  Vivanco;20143545
iBbcVI4AAAAJ;Lee  Berger;41415314,20869924,10.2307/1566126,41262656,20869926
gbqS9hEAAAAJ;R.  Bossard;25085764
fYjWTtQAAAAJ;Kwang Pum Lee;27696383
tzOjgSwAAAAJ;M.K.  Janarthanam;41971401
Ycg4uDQAAAAJ;Reimo  Rivis;30138685,30137847,43290942,43290178,43290957
tDl3GVgAAAAJ;William J. Fritz;44072547
