NjGXkrcAAAAJ;John  Schelhas;2641525,27654127
28nkwpoAAAAJ;Wayne  Dawson;20532078,41242848,41058244,20528896,23434351
MqZsz6gAAAAJ;Benedetta  Brecciaroli;20105700
g5G2KcMAAAAJ;Michael  Weiß;4621383,23389041,20444765,20444779,20444783
Ledp5qYAAAAJ;Sigisfredo Garnica;4621383
acfneG8AAAAJ;Kazumitsu Miyoshi;4621383
wUYHR18AAAAJ;Yung-I Lee;4621383,4293649
IbIuh9UAAAAJ;Anna L. Larimer;43494985
6ss2XcUAAAAJ;Alan E. Burger;10.2307/1521764,4092031,30131046,20628141,10.2307/3565548,4216604,24867952,10.2307/3536705
3x8zxsoAAAAJ;Rachel  Przeslawski;24867614
kcye0lEAAAAJ;Trevor J. Krabbenhoft;1448437,25512178
2eGpXLcAAAAJ;Allison T. Neal;24033769
dfqjypkAAAAJ;Glenn  Flores;10.2307/1445929,10.2307/1564260,10.2307/1564354,3892637,10.2307/1564481,10.2307/1564952,3892830,3892115
uD6X-q8AAAAJ;John S. Kimball;27651184
VLPGLlsAAAAJ;Margot Vanhellemont;4539946
onuKasAAAAAJ;E. Penelope Holland;23597121
Ohq41q0AAAAJ;Ivan  Nunes;23273265,24637154,24634298
Nin1E9QAAAAJ;Greg A. Barron-Gafford;43677519,43677515,23267445
ppFKx4EAAAAJ;William L. Cable;43677519,27823748
4UxbBYIAAAAJ;Vera  Weisbecker;29783017
taTQzw0AAAAJ;Marcelo R. Sánchez-Villagra;4094269,4523859,23326900,4093008,41432809
cWOecYQAAAAJ;Marc  Girondot;2387505,4524331,20062453,40310096,4096912
uLJvbt4AAAAJ; Daniel Sánchez-Mata ;4181563
FsJbyNEAAAAJ;Etienne  Laliberté;43494477,27650879,41435020,23434363,40309835
QgACzbIAAAAJ;Takayuki  Tanaka;10.2307/1447543
x1eK6eAAAAAJ;Paul  Mitchell;10.2307/2409665,10.2307/5614,10.2307/5162,10.2307/3546207,10.2307/3566099,10.2307/3547007
GYkwveEAAAAJ;ADILSON  FRANSOZO;23034237
SRDNwMwAAAAJ;Jan  Hrcek;23229918,24033423
wL7AtZAAAAAJ;Jos Barlow;4620874,4493656,4091966,4499147
orDmuRkAAAAJ;Eric J. Ward;23597114,27695994
r-q_GzQAAAAJ;Stefano  Canessa;24432248
