Vcs1hK0AAAAJ;Mikko  Mönkkönen;23735586,23736007,23734601,23735499,23737026,23735798,43923481,20113330,3095365,25680422,3683789,30243138,3683252,30244600,3683646,27651279,30243218,2641921,29738837,3591122,10.2307/2680099,3683629,3677769,40405786,827349,10.2307/3677339,3677793,4223523,10.2307/3546725,41499849,10.2307/3545592,10.2307/3566007,4222479,40234808,10.2307/3565955,4222005
1sy2t5sAAAAJ;Jouni  Aspi;23735586,23737153,23735517,23737180,23727273,4601438,23735467,10.2307/2410182,3094762,4094407,10.2307/3544306
B8JrdkQAAAAJ;Steven D. Frank;bullecosociamer.95.3.252,24432259
KR3AV20AAAAJ;Lian Pin Koh;30043115,30043246,27742864,40925310,4620966,41811854,4493684,25595137,40062191,4124709,20171942,3589038,20144061,4499066,25790823,827366
2chBjFMAAAAJ;Navjot S. Sodhi;30043115,30034119,30043246,40863775,27742864,4493684,4124709,20171942,40062070,25595060,2641539,27651633,29738845,3589038,3877721,10.2307/3677133,41310579,40835556,4499066,25790823,27751647,827366,40996131,4091842
-NjjXUYAAAAJ;Barry W. Brook;30043115,25515819,30043246,23736159,27742794,4539970,2641621,4620853,25680374,3589044,3588985,20171942,27645919,23225237,25595060,25680468,41417129,3061422,20069094,3589038,40062013,25790844,40996131,27696334,3697454,4091842,41686010,40309825,40309852
t6XVnH8AAAAJ;James S. Clark;1468786,40062241,10.2307/176541,3658773,10.2307/1940609,27646138,10.2307/2937077,27645994,3107957,3450004,3450990,10.2307/2265709,3450022,23213502,27651570,10.2307/1940616,27646080,10.2307/1942557,3450919,3450552,3658806,10.2307/2657201,3107955,10.2307/1943042,40062089,23023098,10.2307/1940610,23143939,10.2307/2261199,3599667,27696412,25562582,10.2307/2261112,10.2307/2960510,40864597,10.2307/3566083,41413951,20062269
rHoEfVwAAAAJ;Lidia I. Cabrera;2807773,41922361,43576303,41425551
l10fyjcAAAAJ;Jacob  Höglund;23735755,4600391,4534877,4600083,4600659,4600780,4601128,10.2307/3677312,4217663,10.2307/3676372,10.2307/3676678,10.2307/3546978,10.2307/3546056,4217664,10.2307/3546675
tapQ_7cAAAAJ;Courtney J. Murren;2446537,4126110,3298647,10.2307/2388769,4131410,3448748,20069269,43556480,3072323,43290110
njOEP7oAAAAJ;Aaron M. Ellison;2446537,2444613,4314614,2657107,bullecosociamer.95.4.342,10.2307/2388393,4123182,4122185,10.2307/2388769,4126151,20167332,27733495,10.2307/2389096,2443921,bullecosociamer.87.4.380,10.2307/2388199,2445541,20167364,4131396,bullecosociamer.90.4.389,20167412,2443275,20168032,2444215,41242809,43187596,10.2307/1938480,29779525,41416776,27860827,10.2307/1942621,27651626,10.2307/2409480,20069083,10.2307/1939932,10.2307/3071981,3450872,10.2307/2265744,10.2307/2269587,10.2307/1938463,10.2307/3072013,3450617,40061779,10.2307/3868635,3696854,2648341,10.2307/2261334,2559473,20143456,2997852,41495836,10.2307/3546270,10.2307/3565287,4131004,10.2307/3858588,4221798,10.2307/3858471,3547847,3858498
2pTohJIAAAAJ;Thomas  Lubjuhn;4535664,4601773,25063850,3677499,4514364,10.2307/3677134
ZYa44FMAAAAJ;Isla H. Myers-Smith;41417329,41417321
0fVKEbMAAAAJ;Eric Schuettpelz;4123853
xN71vNYAAAAJ;David S. Barrington;10.2307/1547160,10.2307/2399536,27733529,10.2307/1547723,41417630,10.2307/2399488,10.2307/2399544,43185819,10.2307/2399548,10.2307/1546577,27733311,4124168,41764726,10.2307/2845635,10.2307/2845632
K2Lc4FEAAAAJ;Judy J. Jernstedt;4125580
8WbSSYkAAAAJ;Paweł  Brzuzan;23736187
C7TTz0kAAAAJ;Łukasz  Jurczyk;23736187
Pi_ZsBsAAAAJ;Julian  Andrews;4315015
2N1h00kAAAAJ;David Sivyer;4315015
4YnkIrIAAAAJ;Ruth Parker;4315015
JIOy8pgAAAAJ;Mark Trimmer;4315015
ztPpLFgAAAAJ;John V. Freudenstein;4121741,2445319,2445067,4126192,4124099,4125575,2446258,41761525,23643152,23674966
BJtK1YcAAAAJ;Kazuyuki  Inubushi;2657078
4A_94KcAAAAJ;Jacques  Balthazart;4535240,4535545,4535728,40205515
93vh1FAAAAAJ;Gregory F. Ball;4535240,3883841,3883037,30158643
GMcb2I4AAAAJ;Håkan  Pleijel;40390420,40390416
Mk-mzYYAAAAJ;Kristen J. Navara;25063826,25063749,PBZ10122,10.1086/670383
CfhIHuIAAAAJ;John L. Robertson;4099124,30133125
UJPmnjEAAAAJ;David S. Lindsay;4099124,10.2307/1591069,10.2307/1591040,10.2307/1590885,10.2307/1591283,10.2307/1591401,20095695
hkFw4X0AAAAJ;Liliana  Orellana;23726595
