10.2307/3535689|*Sea Urchins|D012617|1539|MH|RtM via: Sea urchin (invertebrate);Forced Non-Leaf Node Lookup:sea urchins|TI|MM|571^11^0
10.2307/3535689|*Stomachs|D013270|123|ET|Entry Term Replacement for "Stomach";RtM via: Stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|735^8^0;75^8^0
10.2307/3535689|Passeriformes|D046109|1000|MH|Forced Non-Leaf Node Lookup:passerines||MM|559^10^0
10.2307/3535266|Animals|D000818|60910|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Columbidae;CT Treecode Lookup: B01.050.150.900.248 (Columbidae)||MM;RC
10.2307/3535266|*Columbidae|D010856|9090|MH|Forced Leaf Node Lookup:pigeons;checkForceMH Boosted|TI|MM|504^6^0
10.2307/3535266|*Estuaries|D063366|7218|MH|RtM via: Estuaries;Forced Leaf Node Lookup:estuary|TI|MM|1005^7^0;799^7^0;760^7^0;75^7^0;852^7^0
10.2307/3535266|Oregon|D009922|4764|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|84^6^0
10.2307/3535266|*Seasons|D012621|4755|MH|Forced Leaf Node Lookup:seasonal|TI|MM;RC|205^8^0;440^8^0;952^8^0
10.2307/3535266|*Ducks|D004372|20100|MH|RtM via: Branta bernicla;RtM via: Mergus serrator;RtM via: Genus Mergus|TI|MM|365^5^0;372^15^0;419^15^0;407^10^0
10.2307/3535266|*Charadriiformes|D046091|10515|MH|RtM via: Cepphus columba;RtM via: Uria aalge|TI|MM|523^15^0;504^17^0;473^13^0;488^10^0
10.2307/3535266|*Aquatic Organisms|D059001|6264|MH|RtM via: Branta bernicla;RtM via: Mergus serrator;RtM via: Genus Mergus|TI|MM|365^5^0;372^15^0;419^15^0;407^10^0
10.2307/3535266|*Mouth|D009055|681|MH|RtM via: Oral cavity;Forced Non-Leaf Node Lookup:mouth|TI|MM|807^5^0
10.2307/3536435|Animals|D000818|85564|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/3536435|*Ducks|D004372|84564|MH|RtM via: Anas platyrhynchos;RtM via: Ducks;RtM via: Family Anatidae (organism);RtM via: Melanitta;RtM via: Scaup;RtM via: Bucephala albeola;RtM via: Genus Bucephala;Forced Leaf Node Lookup:ducks;checkForceMH Boosted|TI|MM;RC|314^4^0;504^5^0;35^5^0;219^7^0;397^6^0;228^6^0;421^11^0;236^11^0;405^10^0;253^10^0
10.2307/3536435|*Birds|D001717|14955|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|390^5^0
10.2307/3536435|*Aquatic Organisms|D059001|13893|MH|RtM via: Family Anatidae (organism);RtM via: Melanitta;RtM via: Bucephala albeola;RtM via: Genus Bucephala|TI|MM|314^4^0;219^7^0;421^11^0;236^11^0;405^10^0;253^10^0
10.2307/3534256|Animals|D000818|39490|CT|Sea Lions;CT Treecode Lookup: B01.050.150.900.649.313.750 (Sea Lions);Phoca;CT Treecode Lookup: B01.050.150.900.649.313.750 (Phoca);Caniformia;CT Treecode Lookup: B01.050.150.900.649.313.750 (Caniformia);Seals, Earless;CT Treecode Lookup: B01.050.150.900.649.313.750 (Seals, Earless);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)||MM;RC
10.2307/3534256|*Sea Lions|D046070|38490|MH|RtM via: Sea Lion;Forced Leaf Node Lookup:sea lions;checkForceMH Boosted|TI|MM;RC|452^9^0;495^8^0;277^9^0;586^9^0;140^8^0
10.2307/3534256|*Phoca|D046049|32469|MH|RtM via: Seal, Harbor;Forced Leaf Node Lookup:harbor seals;checkForceMH Boosted|TI|MM;RC|526^12^0;309^12^0;74^11^0
10.2307/3534256|*Charadriiformes|D046091|12281|MH|RtM via: Genus Larus (organism);RtM via: Laridae;Forced Leaf Node Lookup:gull;checkForceMH Boosted|TI|MM|420^4^0
10.2307/3534256|*Rivers|D045483|7648|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|405^5^0
