O3aZnqIAAAAJ;Arthur  Getis;10.2307/1938452,20050804
DJYb8RYAAAAJ;Ina C. Meier;40296317
drfmIF4AAAAJ;Schyler  Nunziata;40863274
REw1aL8AAAAJ;David R. Ownby;40863274,41406816
vUv8GNkAAAAJ;Sarah Cleaveland;4620859
l88VuTYAAAAJ;Tiziana Lembo;4620859
Dp_CQJAAAAAJ;Matthew  Ranson;24114952
Hq7_1noAAAAJ;Andrea  Belgrano;27650797,24867492,4222971
FGmIx1wAAAAJ;Manu  Esteve;25140662
QKj3SngAAAAJ;Joanne  Clavel;41149770,25623133,30137888
65O9LrEAAAAJ;Louise  Swemmer;23435957
uNPUDZEAAAAJ;Christofer J. Clemente;24033694
r3sSaxIAAAAJ;Edward D. Walker;10.2307/1940953,10.2307/3226931,40605731,40309838
VUu-eBoAAAAJ;Gregorio  Delgado;24321470,10.2307/3762014
qyWFYOwAAAAJ;Don W. Butler;23213757,10.1086/673239,newphytologist.193.1.137
a1OW_28AAAAJ;Jens  Amendt;3246712
V0ecFf0AAAAJ;Jacob A. Tennessen;25140814
aLikApUAAAAJ;Daniel P. Rasse;42951111,42949918,24124940,newphytologist.200.2.304
O2GCzawAAAAJ;Gianluca  Piovesan;3061163,40305773
4aHVWa4AAAAJ;Steve  Strauss;3061163
UTZTpiUAAAAJ;Sandrine  Godefroid;40800787,3697491,4125137,20146945,40305766,20793439,40305774
UkRE4w4AAAAJ;Simon  Jeffery;24432245
_9GOcZQAAAAJ;Liesje  Mommer;24432245,3879565,24035895,24130952,4281882,24131001,42952624
cMuFEGgAAAAJ;Max  Hidalgo;40962964
mkEdylMAAAAJ;Monika  Zurek;25053812
t2-VTLsAAAAJ;Vidya  Suseela;23435987
039XHfYAAAAJ;Jamie  Lydersen;23328062
O7h12QUAAAAJ;John  Draper;4181464,23695665,23696312,4280223,4279961,41812063,25704978,23674548,4274767
aOqQ0BgAAAAJ;Yvonne L. Chan;4124642
jPJxaagAAAAJ;Nathalie  Machon;27823709,40792517,40212947
_MnAfA8AAAAJ;Shai  Einbinder;27651345,24873730
1kR8CvcAAAAJ;Roi  Holzman;27651345,24871867,20062505
mF4l2Z0AAAAJ;Francis  Ratnieks;24320554
TauRLnIAAAAJ;Sara L. Martin;23463899
66AepygAAAAJ;Sebastian  Schreiber;41151210
3cWYBOSgP7sC;Nathan G. Taylor;41416691
Ta30kZ0AAAAJ;Thomas B. Bridgeman;40061680
LpLi8Q4AAAAJ;Amalia  Grau;20107699
RTztYMMAAAAJ;Torsten  Dikow;3589226
9rlpdhcAAAAJ;Francesco  Pomati;41739314
EXgKQIMAAAAJ;Michael J. Van Den Avyle;10.2307/2641188
Iy5SVPsAAAAJ;Amanda  Arnold;27650757,23017198,40606595
ciQfl2YAAAAJ;Ryan RJ McAllister;43187630
3sfy8XoAAAAJ;Mark  Moritz;43187630,24013747,40981188,27654104,23280269,24015694
qVasfrsAAAAJ;Jiri  Hulcr;41489100,40235296
