GCPtaewAAAAJ;W. Thomas Conelly;4254706,4603343,4603047,4603121
3jZslbIAAAAJ;Ian A. Dickie;10.2307/3100054,3599392,24130408,24060847,24060778,42952876,newphytologist.196.3.845
v648dLUAAAAJ;Daniel  Hering;25680350,27695933,40605908,27759802
m5IKwr0AAAAJ;Keiichi  Fukaya;23597115,40928263
ikYQvsQAAAAJ;Richard F. Maloney;29738732,4620978,4620813,41262647,24056199
6Pm1lv4AAAAJ;Belén  Luna;23264899,41429059,40802418,24553724
fAHEoEAAAAAJ;Beatriz  Pérez;23264899,3236962,20146500,20050698,41429059,23362419,20050569
sv095LUAAAAJ;Beatriz  Pérez;23264899,3236962,20146500,20050698,41429059,23362419,20050569
MDz1pjQAAAAJ;Michael C. Gavin;3589037,4124710,40419634,4256957,25623118
AMX6MdUAAAAJ;Nele  Schuwirth;23435984
6OtymPsAAAAJ;Peter  Reichert;23435984
mEU_9p0AAAAJ;L. LaReesa Wolfenbarger;10.2307/3868241,20696309
rCbHl00AAAAJ;Felicia  Wu;10.2307/3868241
COojChIAAAAJ;Paul B. Thompson;4281067
d4pIdOYAAAAJ;Caleb  Gardner;10.2307/1549521,24872796
