,fullname
11253,Daniel F.  Doak
11258,Elsie M. B. Naumburg
11268,Yolanda E.  Morbey
11269,Chad E.  Brassil
11270,Andrew P.  Hendry
11315,Alan J. W. Woodward
11318,J.  Shackford
11402,Justin  Kitzes
11415,Thelma R. Wood
11458,Edward A. Armstrong
11476,R. B. Farrar Jr.
11487,IDA  CLENDENIN
11499,Robert S. Egan
11501,Kenneth D. McFarland
11520,M. Boyd Edwards
11524,T. G. Ahrens
11540,Antoon  De Vos
11550,Robert P.  Freckleton
11551,William J.  Sutherland
11552,Andrew R.  Watkinson
11553,Simon A.  Queenborough
11559,Ivan  Petroff
11560,C. M. Hopfinger
11578,Ingo  Paenke
11579,Bernhard  Sendhoff
11584,Ernest E. T. Seton
11619,F. H. Kennard
11634,Chas. W. Richmond
11638,A. J. Catana Jr.
11641,Etta S. Wilson
11653,Joanne  Lello
11654,Rachel A.  Norman
11656,Peter J.  Hudson
11658,Ellen J. Johnson
11682,Frederik W. Wiegel
11687,Joseph W. Camp Jr.
11773,Hernán  Vázquez-Miranda
11799,John W. Houchins
11800,Christopher D. Pearce
11803,Alvaro  Jaramillo
11813,Neil T. McMillan
11834,Annessa B. Musgrove
11843,C. L. Huskins
11844,A. G. Vrooman
11853,Charles Knapp Carpenter
11857,C. M. Scammon
11868,Mark O.  Johnston
11870,Pierre‐Olivier  Cheptou
11871,Christopher G.  Eckert
11875,Mario  Vallejo‐Marín
11910,Barry F. Blake
11911,Tim J. Dixon
11916,Jason M. Baker
11926,H. C. Bryant
11927,F. M. Bailey
11928,B. H. Christy
11954,Clarence L.  Lehman
11970,Wilfrid H. Osgood
12019,Stephane Perreault
12020,Steve R. Chipps
12033,Walter Colvin
12038,Celia J. Hampton-Miller
12046,Jane E. Speer
12047,Norman Mc Clintock.
12113,D. J. Agro
12114,N. H. Rice
12115,M. Jacome
12117,F. Sornoza M.
12127,Ming-Tang  Shiao
12128,Mei-Chen  Chuang
12139,Josiah H. Clark
12147,G. O. K. Sainsbury
12167,Andrew H.  Altieri
12168,Brian R.  Silliman
12169,Mark D.  Bertness
12185,Heather R. Kleb
12192,Hope R. McGaha
12198, Yves Prévost 
12202,John J. Skinner
12203,Jennifer M. Miller
12239,D. H. Tennent
12250,J. H. Bowles
12260,John G. Henderson
12273,M. E. Wadsworth
12274,Virginia R. Gordy
12291,Jacques A. Deere
12293,Robert H. Carrier
12365,A. M. Masri
12394,Kendell D. Jenkins
12400,Charles Kenneth Gunn
12407,J. Harris Reed
12432,Noemi  Bernstein
12437,G. Kingsley Noble
12444,Dirk  Holman
12445,Rachel  Robbins
12446,Andrew  Fox
12448,Alex H. Taylor
12485,Dilip  Mathur
12489,David E. Elder
12520,A. M. Dufty Jr.
12530,Michael R.  Conover
12531,Jan G.  Reese
12532,Anne D.  Brown
12537,Bertram G. Smith
12550,Edgar  Altenburg
12594,Robert C. Kull Jr.
12604,George L. Durall
12629,Edward M. Simmons
12646,Pierre  Feutry
12647,Magalie  Castelin
12649,Agnès  Dettaï
12658,Minna Anthony Common
12662,M. A. Jacobson
12673,Diane E. Riska
12676,Jack W. Kammeraad
12691,Charles Sedgwick Minot
12695,Frank  Müller
12699,Janet G. Hogue
12705,Mary G. Lacy
12726,M.  Navashin
12737,Afexander Sprunt Jr.
12802,Terry T. McIntosh
12808,Lisa L. Torick
12809,Diana F. Tomaback
12810,Ronald  Espinoza
12837,Jo Anne Mueller
12838,Wayne P. Mueller
12870,T. G. Harbison
12876,Jack  Schultz
12880,Janie L.  Wulff
12884,Corporal Maynard F. Reece
12895,Virgilio A. Villeda
12896,Kyle  Charron
12900,Antony M. Dean
12902,Otho C. Poling
12921,Robert J. Kosinski
12951,Mary F. Miller
12954,Sebastian  Hess
12955,Inge  Theisen
12964,Reginald Heber Howe Junior
12982,John N. Clark
13018,Lauren B.  Buckley
13019,Calvin B. Bridges
13020,E. A. Moxley
13023,John L. Russell
13043,P. A. Colinvaux
13079,Kimberley D. Hughes
13104,Geo. H. Perkins
13123,F. M. Graves
13133,Cecilia Garcia Chavelas
13134,Horacio Merchant Larios
13153,Irina  Milyutina
13198,Frank  Russell
13217,Katie R.  Massie
13218,J. Gwen  Shlichta
13219,Matthew H.  Smith
13220,Gregory J.  Ragland
13231,John T. Gentry
13235,O. K. Miller
13237,J. F. Walker
13246,R. H. Lawrence
13247,G. T. Bettany
13249,Carolyn W. Harris
13253,George M. Briggs
13255,Stephen John Fast
13256,Harrison W. Ambrose
13260,Ralph E. Lawrence
13286,Charles W. Richmond
13300, E. Otto Höhn 
13317,A. H. Felger
13333,Roger O. Olmsted
13349,Kenneth J. Mager
13356,A. V. H.
13359,Laura Pearce
13360,Sari Saunders
13385,Wendi  Shaw
13386,W. Sprague Brooks
13453,Anita  Kaliszewicz
13480,Edward H. Lebetkin
13481,Peter M. Cumbie
13482,A. Gaylon Cook
13483,William G. Meginnis
13484,Leslie W. Elmore
13516,Arthur W. Brockway
13521,Cecilia  Hammarberg
13548,F. C. Kirkwood
13557,Paula Cristina Dias
